hour_coded;immobilized_bus;broken_truck;vehicle_excess;accident_victim;running_over;fire_vehicles;occurrence_involving_freight;incident_involving_dangerous_freight;lack_of_electricity;fire;point_of_flooding;manifestations;defect_in_the_network_of_trolleybuses;tree_on_the_road;semaphore_off;intermittent_semaphore;slowness_in_traffic;hour_decoded;day
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.1;7;1
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.6;7;1
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.7;8;1
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.2;8;1
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.1;9;1
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.9;9;1
7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.3;10;1
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.2;10;1
9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.6;11;1
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.4;11;1
11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.2;12;1
12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.7;12;1
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;13;1
14;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4.9;13;1
15;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.1;14;1
16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.3;14;1
17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.9;15;1
18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.1;15;1
19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.7;16;1
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.1;16;1
21;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.5;17;1
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.4;17;1
23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.9;18;1
24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.2;18;1
25;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;11.8;19;1
26;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;11.4;19;1
27;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7.4;20;1
1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;4.9;7;2
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.3;7;2
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.0;8;2
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.5;8;2
5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10.3;9;2
6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.5;9;2
7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7.9;10;2
8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.7;10;2
9;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;8.3;11;2
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.5;11;2
11;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.5;12;2
12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.4;12;2
13;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8.7;13;2
14;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7.8;13;2
15;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8.1;14;2
16;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.3;14;2
17;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;8.3;15;2
18;1;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;8.4;15;2
19;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9.3;16;2
20;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;11.0;16;2
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.1;17;2
22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.1;17;2
23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.7;18;2
24;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;15.3;18;2
25;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;16.8;19;2
26;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;15.6;19;2
27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.0;20;2
1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.4;7;3
2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.8;7;3
3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5.3;8;3
4;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;5.9;8;3
5;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;7.0;9;3
6;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7.4;9;3
7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6.2;10;3
8;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6.5;10;3
9;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6.7;11;3
10;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7.7;11;3
11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.7;12;3
12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8.2;12;3
13;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8.0;13;3
14;0;2;0;3;0;0;0;0;0;0;0;0;1;0;0;0;6.2;13;3
15;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6.8;14;3
16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.0;14;3
17;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9.2;15;3
18;2;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;10.1;15;3
19;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;12.2;16;3
20;0;2;0;1;1;0;0;0;1;0;1;0;0;0;0;0;13.9;16;3
21;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;15.0;17;3
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;17.1;17;3
23;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;19.6;18;3
24;0;1;0;0;0;0;0;0;2;0;3;0;0;0;1;0;20.2;18;3
25;1;3;0;2;0;0;0;0;4;0;1;0;0;0;4;0;22.6;19;3
26;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;23.4;19;3
27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.3;20;3
1;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;4.0;7;4
2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5.0;7;4
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5.7;8;4
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.6;8;4
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.5;9;4
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.6;9;4
7;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;7.6;10;4
8;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;6.6;10;4
9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.4;11;4
10;2;2;0;0;2;0;0;0;0;0;0;0;1;0;0;0;7.7;11;4
11;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7.7;12;4
12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.9;12;4
13;2;2;0;1;0;0;0;1;0;0;0;1;0;0;0;0;10.1;13;4
14;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.8;13;4
15;1;2;0;0;0;0;1;0;0;0;0;1;0;0;1;0;11.4;14;4
16;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12.5;14;4
17;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;12.1;15;4
18;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10.5;15;4
19;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9.9;16;4
20;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11.1;16;4
21;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.1;17;4
22;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;13.7;17;4
23;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.6;18;4
24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.3;18;4
25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.9;19;4
26;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;21.5;19;4
27;0;3;0;1;0;0;0;0;1;0;7;0;2;0;1;0;22.1;20;4
1;0;0;0;1;0;0;0;0;0;0;0;0;8;0;1;0;3.4;7;5
2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5.0;7;5
3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.5;8;5
4;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;6.4;8;5
5;0;2;0;0;0;0;0;0;0;0;0;0;2;1;0;0;8.2;9;5
6;2;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0;9.0;9;5
7;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.1;10;5
8;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;10.3;10;5
9;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;10.9;11;5
10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.3;11;5
11;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.9;12;5
12;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10.3;12;5
13;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11.0;13;5
14;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9.7;13;5
15;1;2;0;1;0;0;0;0;0;0;0;0;1;0;1;0;10.3;14;5
16;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;10.9;14;5
17;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8.9;15;5
18;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;9.4;15;5
19;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;11.3;16;5
20;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;13.0;16;5
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.6;17;5
22;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;17.4;17;5
23;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;17.8;18;5
24;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;18.1;18;5
25;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;17.7;19;5
26;0;4;0;0;0;0;0;0;0;0;0;1;0;0;1;0;17.4;19;5
27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.1;20;5
